quote_date,priceMean,priceSD,regionDesc,dateStata,dateISO
202201,3.594722,0.6347529,North West,01/01/2022,01/01/2022
202201,3.804667,0.7932741,Wales,01/01/2022,01/01/2022
202201,3.888636,0.6430455,Scotland,01/01/2022,01/01/2022
202201,3.993104,0.7658473,East Midlands,01/01/2022,01/01/2022
202201,4.224182,0.7899899,South East,01/01/2022,01/01/2022
202201,4.455,0.5035706,Northern Ireland,01/01/2022,01/01/2022
202201,3.634839,0.6962417,Yorkshire & Humber,01/01/2022,01/01/2022
202201,3.767667,0.6280879,West Midlands,01/01/2022,01/01/2022
202201,4.195,0.6999723,East Anglia,01/01/2022,01/01/2022
202201,4.763265,0.9083166,London,01/01/2022,01/01/2022
202201,3.5225,0.7459357,North,01/01/2022,01/01/2022
202201,4.153461,0.7684996,South West,01/01/2022,01/01/2022
202202,3.667838,0.6318101,North West,01/02/2022,01/02/2022
202202,3.666333,0.6650926,Yorkshire & Humber,01/02/2022,01/02/2022
202202,4.102963,0.806821,South West,01/02/2022,01/02/2022
202202,3.811333,0.6234428,West Midlands,01/02/2022,01/02/2022
202202,4.280938,0.7658322,East Anglia,01/02/2022,01/02/2022
202202,4.326154,0.5134611,Northern Ireland,01/02/2022,01/02/2022
202202,4.258,0.7946124,South East,01/02/2022,01/02/2022
202202,4.773125,0.9109176,London,01/02/2022,01/02/2022
202202,3.889583,0.638541,Scotland,01/02/2022,01/02/2022
202202,3.551818,0.6521322,Wales,01/02/2022,01/02/2022
202202,3.544,0.6309494,North,01/02/2022,01/02/2022
202202,3.966429,0.7395905,East Midlands,01/02/2022,01/02/2022
202203,3.702791,0.6223317,North West,01/03/2022,01/03/2022
202203,3.870714,0.6259862,West Midlands,01/03/2022,01/03/2022
202203,4.293549,0.784192,South West,01/03/2022,01/03/2022
202203,4.402667,0.5394769,Northern Ireland,01/03/2022,01/03/2022
202203,3.704,0.6551736,Yorkshire & Humber,01/03/2022,01/03/2022
202203,3.845882,0.7719056,Wales,01/03/2022,01/03/2022
202203,4.328,0.7178555,East Anglia,01/03/2022,01/03/2022
202203,4.801,0.8727443,London,01/03/2022,01/03/2022
202203,3.946,0.6419242,Scotland,01/03/2022,01/03/2022
202203,3.53375,0.5350623,North,01/03/2022,01/03/2022
202203,3.987143,0.7165755,East Midlands,01/03/2022,01/03/2022
202203,4.306786,0.7876273,South East,01/03/2022,01/03/2022
202204,3.765161,0.671247,Yorkshire & Humber,01/04/2022,01/04/2022
202204,4.028846,0.6871933,Scotland,01/04/2022,01/04/2022
202204,4.666,0.5558623,Northern Ireland,01/04/2022,01/04/2022
202204,4.330185,0.7908736,South East,01/04/2022,01/04/2022
202204,3.952,0.7662823,Wales,01/04/2022,01/04/2022
202204,4.003793,0.6302631,West Midlands,01/04/2022,01/04/2022
202204,3.774884,0.6563005,North West,01/04/2022,01/04/2022
202204,4.924694,0.8419598,London,01/04/2022,01/04/2022
202204,3.62,0.5535567,North,01/04/2022,01/04/2022
202204,4.059231,0.7636068,East Midlands,01/04/2022,01/04/2022
202204,4.341818,0.7279142,East Anglia,01/04/2022,01/04/2022
202204,4.344828,0.8644719,South West,01/04/2022,01/04/2022
202205,3.942941,0.8345041,Wales,01/05/2022,01/05/2022
202205,4.027931,0.619051,West Midlands,01/05/2022,01/05/2022
202205,4.692667,0.6152987,Northern Ireland,01/05/2022,01/05/2022
202205,3.800465,0.6836142,North West,01/05/2022,01/05/2022
202205,4.046296,0.6719555,Scotland,01/05/2022,01/05/2022
202205,3.65875,0.5600224,North,01/05/2022,01/05/2022
202205,3.802187,0.6987811,Yorkshire & Humber,01/05/2022,01/05/2022
202205,4.392903,0.7143911,East Anglia,01/05/2022,01/05/2022
202205,4.093846,0.8248544,East Midlands,01/05/2022,01/05/2022
202205,4.96,0.831394,London,01/05/2022,01/05/2022
202205,4.413273,0.7754212,South East,01/05/2022,01/05/2022
202205,4.35,0.8343261,South West,01/05/2022,01/05/2022
202206,4.395758,0.8377949,South West,01/06/2022,01/06/2022
202206,3.715,0.6307667,North,01/06/2022,01/06/2022
202206,4.076923,0.7003186,Scotland,01/06/2022,01/06/2022
202206,4.9622,0.8235,London,01/06/2022,01/06/2022
202206,4.017,0.6246166,West Midlands,01/06/2022,01/06/2022
202206,4.450755,0.7831835,South East,01/06/2022,01/06/2022
202206,3.799062,0.6971664,Yorkshire & Humber,01/06/2022,01/06/2022
202206,3.942941,0.8345041,Wales,01/06/2022,01/06/2022
202206,4.353824,0.71842,East Anglia,01/06/2022,01/06/2022
202206,3.786191,0.6931686,North West,01/06/2022,01/06/2022
202206,4.699334,0.6100991,Northern Ireland,01/06/2022,01/06/2022
202206,4.086667,0.8096961,East Midlands,01/06/2022,01/06/2022
202207,3.849512,0.6951473,North West,01/07/2022,01/07/2022
202207,4.063461,0.702219,Scotland,01/07/2022,01/07/2022
202207,4.017586,0.6345395,West Midlands,01/07/2022,01/07/2022
202207,4.356364,0.8226969,South West,01/07/2022,01/07/2022
202207,4.375152,0.7587371,East Anglia,01/07/2022,01/07/2022
202207,3.817812,0.7045279,Yorkshire & Humber,01/07/2022,01/07/2022
202207,3.951765,0.8417113,Wales,01/07/2022,01/07/2022
202207,4.413518,0.8188675,South East,01/07/2022,01/07/2022
202207,5.006923,0.8355567,London,01/07/2022,01/07/2022
202207,4.699167,0.6572043,Northern Ireland,01/07/2022,01/07/2022
202207,4.099629,0.8168443,East Midlands,01/07/2022,01/07/2022
202207,3.7775,0.6295766,North,01/07/2022,01/07/2022
202208,3.978235,0.8228626,Wales,01/08/2022,01/08/2022
202208,4.430909,0.8385305,South West,01/08/2022,01/08/2022
202208,3.839677,0.67567,Yorkshire & Humber,01/08/2022,01/08/2022
202208,3.886342,0.6870216,North West,01/08/2022,01/08/2022
202208,5.09549,0.8119761,London,01/08/2022,01/08/2022
202208,4.201428,0.8341228,East Midlands,01/08/2022,01/08/2022
202208,4.073704,0.664467,West Midlands,01/08/2022,01/08/2022
202208,3.738889,0.5932353,North,01/08/2022,01/08/2022
202208,4.50421,0.8355878,South East,01/08/2022,01/08/2022
202208,4.15,0.6858824,Scotland,01/08/2022,01/08/2022
202208,4.732667,0.633871,Northern Ireland,01/08/2022,01/08/2022
202208,4.377941,0.7660595,East Anglia,01/08/2022,01/08/2022
202209,3.810968,0.7157018,Yorkshire & Humber,01/09/2022,01/09/2022
202209,5.068039,0.8971645,London,01/09/2022,01/09/2022
202209,3.662353,0.6440257,North,01/09/2022,01/09/2022
202209,4.706429,0.6457269,Northern Ireland,01/09/2022,01/09/2022
202209,4.117308,0.774021,Scotland,01/09/2022,01/09/2022
202209,4.386471,0.8430892,East Anglia,01/09/2022,01/09/2022
202209,3.8565,0.7349988,North West,01/09/2022,01/09/2022
202209,4.4875,0.8855532,South East,01/09/2022,01/09/2022
202209,4.037,0.6732789,West Midlands,01/09/2022,01/09/2022
202209,3.959375,0.8911451,Wales,01/09/2022,01/09/2022
202209,4.202069,0.8649169,East Midlands,01/09/2022,01/09/2022
202209,4.411818,0.887403,South West,01/09/2022,01/09/2022
202210,4.523158,0.9068138,South East,01/10/2022,01/10/2022
202210,4.170741,0.7348675,Scotland,01/10/2022,01/10/2022
202210,4.501818,0.8711395,South West,01/10/2022,01/10/2022
202210,3.799677,0.7286768,Yorkshire & Humber,01/10/2022,01/10/2022
202210,4.779334,0.6599076,Northern Ireland,01/10/2022,01/10/2022
202210,4.081379,0.7359965,West Midlands,01/10/2022,01/10/2022
202210,4.397143,0.8338909,East Anglia,01/10/2022,01/10/2022
202210,3.759412,0.757376,North,01/10/2022,01/10/2022
202210,4.215862,0.861873,East Midlands,01/10/2022,01/10/2022
202210,3.94647,0.8941262,Wales,01/10/2022,01/10/2022
202210,5.100392,0.9135293,London,01/10/2022,01/10/2022
202210,3.827949,0.7718508,North West,01/10/2022,01/10/2022
