quote_date,priceMean,priceSD,regionDesc,dateStata,dateISO,region,%change
202201,3.594722,0.6347529,North West,01/01/2022,01/01/2022,North West,6.488039965
202201,3.804667,0.7932741,Wales,01/01/2022,01/01/2022,Wales,3.727080451
202201,3.888636,0.6430455,Scotland,01/01/2022,01/01/2022,Scotland,7.254600328
202201,3.993104,0.7658473,East Midlands,01/01/2022,01/01/2022,East Midlands,5.57856745
202201,4.224182,0.7899899,South East,01/01/2022,01/01/2022,South East,7.077725344
202201,4.455,0.5035706,Northern Ireland,01/01/2022,01/01/2022,Northern Ireland,7.280224467
202201,3.634839,0.6962417,Yorkshire & Humber,01/01/2022,01/01/2022,Yorkshire & Humber,4.53494639
202201,3.767667,0.6280879,West Midlands,01/01/2022,01/01/2022,West Midlands,8.326425876
202201,4.195,0.6999723,East Anglia,01/01/2022,01/01/2022,East Anglia,4.818665077
202201,4.763265,0.9083166,London,01/01/2022,01/01/2022,London,7.077645271
202201,3.5225,0.7459357,North,01/01/2022,01/01/2022,North,6.725677786
202201,4.153461,0.7684996,South West,01/01/2022,01/01/2022,South West,8.387149897
202210,4.523158,0.9068138,South East,01/10/2022,01/10/2022,,
202210,4.170741,0.7348675,Scotland,01/10/2022,01/10/2022,,
202210,4.501818,0.8711395,South West,01/10/2022,01/10/2022,,
202210,3.799677,0.7286768,Yorkshire & Humber,01/10/2022,01/10/2022,,
202210,4.779334,0.6599076,Northern Ireland,01/10/2022,01/10/2022,,
202210,4.081379,0.7359965,West Midlands,01/10/2022,01/10/2022,,
202210,4.397143,0.8338909,East Anglia,01/10/2022,01/10/2022,,
202210,3.759412,0.757376,North,01/10/2022,01/10/2022,,
202210,4.215862,0.861873,East Midlands,01/10/2022,01/10/2022,,
202210,3.94647,0.8941262,Wales,01/10/2022,01/10/2022,,
202210,5.100392,0.9135293,London,01/10/2022,01/10/2022,,
202210,3.827949,0.7718508,North West,01/10/2022,01/10/2022,,
